IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.66.153.91,4,4,0.00,3.10,0.00
104.24.140.70,4,4,0.00,3.10,0.00
104.24.145.119,4,4,0.00,3.10,0.00
104.21.222.41,4,4,0.00,3.10,0.00
104.24.30.22,4,4,0.00,3.10,0.00
172.65.14.0,4,4,0.00,3.10,0.00
104.21.45.244,4,4,0.00,3.10,0.00
104.24.155.93,4,4,0.00,3.11,0.00
172.67.227.175,4,4,0.00,3.11,0.00
104.24.162.119,4,4,0.00,3.11,0.00
104.21.73.242,4,4,0.00,3.11,0.00
104.24.157.52,4,4,0.00,3.12,0.00
104.24.150.61,4,4,0.00,3.13,0.00
104.21.228.79,4,4,0.00,3.13,0.00
172.67.66.197,4,4,0.00,3.14,0.00
104.21.212.107,4,4,0.00,3.17,0.00
104.24.14.210,4,4,0.00,3.17,0.00
172.64.47.0,4,4,0.00,3.18,0.00
172.67.65.140,4,4,0.00,3.18,0.00
104.21.193.131,4,4,0.00,3.18,0.00
172.65.92.81,4,4,0.00,3.19,0.00
172.65.80.10,4,4,0.00,3.19,0.00
172.66.151.57,4,4,0.00,3.20,0.00
172.65.26.205,4,4,0.00,3.20,0.00
104.24.13.132,4,4,0.00,3.20,0.00
172.64.229.167,4,4,0.00,3.20,0.00
104.21.236.169,4,4,0.00,3.21,0.00
172.67.243.2,4,4,0.00,3.21,0.00
172.64.38.150,4,4,0.00,3.21,0.00
104.21.211.105,4,4,0.00,3.22,0.00
104.21.215.197,4,4,0.00,3.22,0.00
172.65.190.3,4,4,0.00,3.22,0.00
172.67.198.66,4,4,0.00,3.23,0.00
104.21.210.159,4,4,0.00,3.24,0.00
172.65.16.245,4,4,0.00,3.24,0.00
104.21.60.239,4,4,0.00,3.24,0.00
104.21.229.11,4,4,0.00,3.25,0.00
172.67.238.13,4,4,0.00,3.25,0.00
104.21.42.175,4,4,0.00,3.25,0.00
104.21.71.148,4,4,0.00,3.26,0.00
104.27.70.67,4,4,0.00,3.26,0.00
104.24.149.204,4,4,0.00,3.26,0.00
104.21.61.147,4,4,0.00,3.27,0.00
104.24.19.7,4,4,0.00,3.28,0.00
104.21.70.30,4,4,0.00,3.28,0.00
104.21.38.84,4,4,0.00,3.28,0.00
172.67.197.81,4,4,0.00,3.28,0.00
104.21.226.47,4,4,0.00,3.29,0.00
104.27.125.118,4,4,0.00,3.29,0.00
104.21.72.166,4,4,0.00,3.29,0.00
172.65.192.7,4,4,0.00,3.29,0.00
104.27.124.209,4,4,0.00,3.30,0.00
104.21.207.108,4,4,0.00,3.31,0.00
104.21.230.193,4,4,0.00,3.31,0.00
104.24.130.145,4,4,0.00,3.31,0.00
104.21.200.188,4,4,0.00,3.31,0.00
104.24.163.235,4,4,0.00,3.31,0.00
104.21.199.78,4,4,0.00,3.31,0.00
104.24.128.188,4,4,0.00,3.32,0.00
172.66.47.102,4,4,0.00,3.32,0.00
104.27.18.115,4,4,0.00,3.32,0.00
104.24.160.121,4,4,0.00,3.32,0.00
172.64.232.41,4,4,0.00,3.32,0.00
104.21.235.253,4,4,0.00,3.33,0.00
172.66.148.92,4,4,0.00,3.34,0.00
172.64.233.83,4,4,0.00,3.34,0.00
104.21.238.203,4,4,0.00,3.34,0.00
104.21.220.199,4,4,0.00,3.34,0.00
104.21.40.100,4,4,0.00,3.35,0.00
172.65.172.195,4,4,0.00,3.36,0.00
104.21.221.46,4,4,0.00,3.36,0.00
104.24.164.198,4,4,0.00,3.36,0.00
104.24.86.211,4,4,0.00,3.37,0.00
172.64.48.129,4,4,0.00,3.37,0.00
104.27.120.167,4,4,0.00,3.38,0.00
104.24.137.206,4,4,0.00,3.38,0.00
104.27.31.152,4,4,0.00,3.39,0.00
104.21.195.213,4,4,0.00,3.39,0.00
104.27.19.153,4,4,0.00,3.40,0.00
172.67.74.250,4,4,0.00,3.40,0.00
104.24.161.226,4,4,0.00,3.40,0.00
104.21.62.233,4,4,0.00,3.42,0.00
162.159.202.55,4,4,0.00,3.42,0.00
172.65.104.240,4,4,0.00,3.42,0.00
104.21.50.71,4,4,0.00,3.42,0.00
172.64.234.149,4,4,0.00,3.43,0.00
104.24.85.74,4,4,0.00,3.44,0.00
172.65.171.242,4,4,0.00,3.44,0.00
172.65.107.169,4,4,0.00,3.45,0.00
104.21.205.209,4,4,0.00,3.45,0.00
104.24.29.252,4,4,0.00,3.45,0.00
104.24.172.145,4,4,0.00,3.46,0.00
104.27.40.222,4,4,0.00,3.46,0.00
172.65.3.115,4,4,0.00,3.47,0.00
172.64.37.253,4,4,0.00,3.47,0.00
104.24.168.139,4,4,0.00,3.47,0.00
104.24.42.78,4,4,0.00,3.48,0.00
104.27.123.91,4,4,0.00,3.48,0.00
172.67.237.226,4,4,0.00,3.49,0.00
104.27.2.58,4,4,0.00,3.50,0.00
104.21.233.128,4,4,0.00,3.50,0.00
172.65.78.99,4,4,0.00,3.50,0.00
198.41.207.92,4,4,0.00,3.51,0.00
104.27.119.52,4,4,0.00,3.51,0.00
104.21.214.43,4,4,0.00,3.51,0.00
104.27.34.235,4,4,0.00,3.51,0.00
104.24.1.152,4,4,0.00,3.51,0.00
172.67.235.89,4,4,0.00,3.52,0.00
198.41.203.164,4,4,0.00,3.52,0.00
104.21.216.190,4,4,0.00,3.53,0.00
172.65.179.221,4,4,0.00,3.53,0.00
104.27.25.16,4,4,0.00,3.53,0.00
104.27.110.254,4,4,0.00,3.53,0.00
172.65.105.192,4,4,0.00,3.53,0.00
198.41.217.14,4,4,0.00,3.54,0.00
104.27.51.82,4,4,0.00,3.54,0.00
162.159.194.3,4,4,0.00,3.56,0.00
104.21.206.115,4,4,0.00,3.56,0.00
104.24.153.79,4,4,0.00,3.56,0.00
172.65.174.192,4,4,0.00,3.56,0.00
104.27.68.219,4,4,0.00,3.57,0.00
104.27.113.17,4,4,0.00,3.57,0.00
172.65.193.206,4,4,0.00,3.57,0.00
104.27.0.141,4,4,0.00,3.57,0.00
172.67.78.85,4,4,0.00,3.58,0.00
104.27.67.239,4,4,0.00,3.58,0.00
104.24.75.33,4,4,0.00,3.58,0.00
104.21.219.233,4,4,0.00,3.58,0.00
104.24.35.6,4,4,0.00,3.59,0.00
104.27.126.180,4,4,0.00,3.59,0.00
198.41.205.89,4,4,0.00,3.60,0.00
104.16.131.12,4,4,0.00,3.60,0.00
104.27.37.25,4,4,0.00,3.61,0.00
104.24.87.49,4,4,0.00,3.61,0.00
104.27.121.50,4,4,0.00,3.62,0.00
198.41.206.110,4,4,0.00,3.62,0.00
172.65.165.135,4,4,0.00,3.62,0.00
104.27.104.226,4,4,0.00,3.62,0.00
104.21.57.14,4,4,0.00,3.62,0.00
104.21.231.126,4,4,0.00,3.63,0.00
104.21.217.127,4,4,0.00,3.63,0.00
104.24.146.174,4,4,0.00,3.63,0.00
104.24.144.134,4,4,0.00,3.63,0.00
172.66.46.162,4,4,0.00,3.63,0.00
198.41.204.167,4,4,0.00,3.63,0.00
104.27.112.101,4,4,0.00,3.64,0.00
198.41.201.253,4,4,0.00,3.64,0.00
104.24.139.10,4,4,0.00,3.64,0.00
104.21.35.28,4,4,0.00,3.64,0.00
172.64.34.88,4,4,0.00,3.64,0.00
104.24.129.30,4,4,0.00,3.66,0.00
104.27.38.105,4,4,0.00,3.66,0.00
172.65.23.231,4,4,0.00,3.66,0.00
104.24.135.162,4,4,0.00,3.66,0.00
104.24.25.76,4,4,0.00,3.67,0.00
104.27.122.129,4,4,0.00,3.67,0.00
104.24.6.24,4,4,0.00,3.68,0.00
104.21.201.42,4,4,0.00,3.68,0.00
104.27.39.166,4,4,0.00,3.68,0.00
104.27.107.64,4,4,0.00,3.68,0.00
162.159.207.242,4,4,0.00,3.69,0.00
172.67.205.178,4,4,0.00,3.69,0.00
162.159.233.18,4,4,0.00,3.69,0.00
104.24.36.13,4,4,0.00,3.69,0.00
104.27.64.159,4,4,0.00,3.70,0.00
172.66.154.31,4,4,0.00,3.70,0.00
198.41.215.4,4,4,0.00,3.71,0.00
104.27.60.236,4,4,0.00,3.71,0.00
172.67.76.174,4,4,0.00,3.71,0.00
104.21.194.91,4,4,0.00,3.71,0.00
104.24.3.227,4,4,0.00,3.71,0.00
104.27.20.123,4,4,0.00,3.72,0.00
172.67.231.241,4,4,0.00,3.72,0.00
172.67.215.89,4,4,0.00,3.72,0.00
172.64.40.251,4,4,0.00,3.72,0.00
104.21.197.112,4,4,0.00,3.72,0.00
104.27.9.44,4,4,0.00,3.72,0.00
172.65.103.149,4,4,0.00,3.72,0.00
172.65.8.196,4,4,0.00,3.73,0.00
104.27.90.181,4,4,0.00,3.73,0.00
104.27.115.183,4,4,0.00,3.73,0.00
172.67.211.177,4,4,0.00,3.74,0.00
104.16.19.15,4,4,0.00,3.75,0.00
172.67.210.1,4,4,0.00,3.75,0.00
104.27.118.134,4,4,0.00,3.75,0.00
104.27.105.97,4,4,0.00,3.75,0.00
162.159.17.208,4,4,0.00,3.75,0.00
104.27.47.59,4,4,0.00,3.75,0.00
162.159.247.7,4,4,0.00,3.76,0.00
188.114.99.227,4,4,0.00,3.76,0.00
172.65.168.215,4,4,0.00,3.76,0.00
162.159.245.217,4,4,0.00,3.76,0.00
104.27.116.235,4,4,0.00,3.77,0.00
104.27.106.165,4,4,0.00,3.77,0.00
104.21.58.138,4,4,0.00,3.77,0.00
172.64.35.19,4,4,0.00,3.77,0.00
172.65.86.15,4,4,0.00,3.78,0.00
172.67.216.14,4,4,0.00,3.78,0.00
172.67.220.20,4,4,0.00,3.79,0.00
104.24.180.198,4,4,0.00,3.79,0.00
104.24.82.118,4,4,0.00,3.79,0.00
162.159.246.116,4,4,0.00,3.80,0.00
104.24.34.0,4,4,0.00,3.80,0.00
104.27.92.47,4,4,0.00,3.81,0.00
104.16.22.245,4,4,0.00,3.82,0.00
162.159.236.152,4,4,0.00,3.83,0.00
172.64.32.21,4,4,0.00,3.83,0.00
172.65.173.36,4,4,0.00,3.83,0.00
104.27.52.209,4,4,0.00,3.84,0.00
104.21.68.9,4,4,0.00,3.84,0.00
141.101.115.4,4,4,0.00,3.84,0.00
172.64.41.237,4,4,0.00,3.85,0.00
104.27.87.112,4,4,0.00,3.85,0.00
172.65.15.169,4,4,0.00,3.85,0.00
104.27.102.137,4,4,0.00,3.85,0.00
172.67.224.6,4,4,0.00,3.85,0.00
172.65.11.55,4,4,0.00,3.85,0.00
198.41.208.197,4,4,0.00,3.85,0.00
104.24.170.134,4,4,0.00,3.86,0.00
104.27.59.182,4,4,0.00,3.86,0.00
198.41.209.50,4,4,0.00,3.86,0.00
104.27.28.140,4,4,0.00,3.86,0.00
104.27.22.78,4,4,0.00,3.87,0.00
104.27.98.197,4,4,0.00,3.87,0.00
104.27.82.54,4,4,0.00,3.87,0.00
104.16.24.26,4,4,0.00,3.88,0.00
162.159.192.238,4,4,0.00,3.88,0.00
172.67.152.160,4,4,0.00,3.89,0.00
172.65.99.147,4,4,0.00,3.89,0.00
104.24.18.142,4,4,0.00,3.89,0.00
198.41.202.108,4,4,0.00,3.89,0.00
104.27.46.220,4,4,0.00,3.89,0.00
104.27.66.197,4,4,0.00,3.90,0.00
104.27.4.71,4,4,0.00,3.90,0.00
104.21.196.28,4,4,0.00,3.90,0.00
104.27.50.98,4,4,0.00,3.90,0.00
198.41.222.228,4,4,0.00,3.90,0.00
104.21.56.247,4,4,0.00,3.90,0.00
141.101.122.169,4,4,0.00,3.90,0.00
104.16.86.220,4,4,0.00,3.90,0.00
104.27.111.108,4,4,0.00,3.90,0.00
198.41.200.44,4,4,0.00,3.90,0.00
104.24.194.126,4,4,0.00,3.91,0.00
104.21.192.21,4,4,0.00,3.91,0.00
104.21.213.12,4,4,0.00,3.91,0.00
104.27.117.104,4,4,0.00,3.91,0.00
104.27.108.57,4,4,0.00,3.92,0.00
104.27.109.100,4,4,0.00,3.92,0.00
173.245.59.41,4,4,0.00,3.93,0.00
104.16.49.226,4,4,0.00,3.93,0.00
172.67.202.242,4,4,0.00,3.93,0.00
104.27.44.67,4,4,0.00,3.93,0.00
104.24.81.56,4,4,0.00,3.93,0.00
104.27.35.127,4,4,0.00,3.94,0.00
104.27.7.172,4,4,0.00,3.94,0.00
172.65.9.21,4,4,0.00,3.94,0.00
162.159.228.228,4,4,0.00,3.95,0.00
104.27.88.111,4,4,0.00,3.95,0.00
104.27.41.207,4,4,0.00,3.95,0.00
104.27.3.105,4,4,0.00,3.95,0.00
104.27.33.231,4,4,0.00,3.95,0.00
172.64.231.190,4,4,0.00,3.96,0.00
198.41.192.172,4,4,0.00,3.96,0.00
172.67.209.47,4,4,0.00,3.96,0.00
104.27.80.157,4,4,0.00,3.96,0.00
172.64.97.127,4,4,0.00,3.97,0.00
104.24.32.104,4,4,0.00,3.97,0.00
162.159.244.151,4,4,0.00,3.97,0.00
104.24.84.227,4,4,0.00,3.97,0.00
172.65.191.55,4,4,0.00,3.98,0.00
104.27.85.15,4,4,0.00,3.98,0.00
188.114.98.73,4,4,0.00,3.98,0.00
104.27.62.224,4,4,0.00,3.98,0.00
104.27.61.96,4,4,0.00,3.99,0.00
104.27.103.2,4,4,0.00,3.99,0.00
172.67.212.41,4,4,0.00,3.99,0.00
104.27.69.24,4,4,0.00,3.99,0.00
162.159.241.157,4,4,0.00,3.99,0.00
104.24.4.140,4,4,0.00,4.00,0.00
104.27.99.101,4,4,0.00,4.00,0.00
104.27.57.5,4,4,0.00,4.00,0.00
104.27.79.250,4,4,0.00,4.00,0.00
104.24.233.126,4,4,0.00,4.00,0.00
172.65.100.231,4,4,0.00,4.00,0.00
141.101.114.64,4,4,0.00,4.00,0.00
162.159.5.139,4,4,0.00,4.01,0.00
104.21.33.24,4,4,0.00,4.01,0.00
172.67.230.124,4,4,0.00,4.02,0.00
104.16.17.143,4,4,0.00,4.02,0.00
172.67.225.129,4,4,0.00,4.02,0.00
104.21.47.104,4,4,0.00,4.03,0.00
104.27.8.232,4,4,0.00,4.03,0.00
104.24.2.218,4,4,0.00,4.03,0.00
104.24.10.112,4,4,0.00,4.03,0.00
104.24.12.156,4,4,0.00,4.04,0.00
172.65.81.104,4,4,0.00,4.05,0.00
162.159.232.62,4,4,0.00,4.05,0.00
104.24.171.124,4,4,0.00,4.06,0.00
104.21.218.224,4,4,0.00,4.06,0.00
172.66.43.230,4,4,0.00,4.06,0.00
188.114.96.136,4,4,0.00,4.06,0.00
104.16.89.65,4,4,0.00,4.06,0.00
104.16.40.171,4,4,0.00,4.06,0.00
190.93.244.80,4,4,0.00,4.06,0.00
104.16.35.210,4,4,0.00,4.07,0.00
108.162.194.210,4,4,0.00,4.07,0.00
190.93.246.21,4,4,0.00,4.07,0.00
104.21.49.249,4,4,0.00,4.07,0.00
172.67.226.180,4,4,0.00,4.07,0.00
104.27.55.203,4,4,0.00,4.08,0.00
104.16.38.94,4,4,0.00,4.08,0.00
104.17.2.93,4,4,0.00,4.09,0.00
104.27.54.130,4,4,0.00,4.09,0.00
172.66.41.32,4,4,0.00,4.09,0.00
162.159.243.74,4,4,0.00,4.09,0.00
108.162.193.128,4,4,0.00,4.09,0.00
104.27.114.135,4,4,0.00,4.10,0.00
141.101.121.181,4,4,0.00,4.10,0.00
162.159.13.228,4,4,0.00,4.10,0.00
104.16.70.55,4,4,0.00,4.10,0.00
104.27.43.8,4,4,0.00,4.11,0.00
104.24.131.239,4,4,0.00,4.11,0.00
104.24.77.86,4,4,0.00,4.11,0.00
104.27.74.51,4,4,0.00,4.12,0.00
172.65.185.122,4,4,0.00,4.12,0.00
104.16.26.63,4,4,0.00,4.13,0.00
104.21.67.197,4,4,0.00,4.13,0.00
104.27.95.101,4,4,0.00,4.13,0.00
104.16.21.44,4,4,0.00,4.13,0.00
104.27.96.222,4,4,0.00,4.13,0.00
172.67.71.168,4,4,0.00,4.14,0.00
172.65.189.115,4,4,0.00,4.14,0.00
104.16.67.84,4,4,0.00,4.14,0.00
172.67.192.196,4,4,0.00,4.14,0.00
104.27.73.75,4,4,0.00,4.15,0.00
172.66.40.15,4,4,0.00,4.15,0.00
198.41.223.94,4,4,0.00,4.15,0.00
172.67.75.88,4,4,0.00,4.16,0.00
141.101.113.184,4,4,0.00,4.16,0.00
104.16.127.151,4,4,0.00,4.16,0.00
104.24.211.4,4,4,0.00,4.16,0.00
104.16.128.19,4,4,0.00,4.16,0.00
104.27.71.235,4,4,0.00,4.16,0.00
104.16.105.228,4,4,0.00,4.17,0.00
198.41.197.191,4,4,0.00,4.17,0.00
104.16.47.43,4,4,0.00,4.17,0.00
104.24.174.6,4,4,0.00,4.17,0.00
108.162.195.145,4,4,0.00,4.18,0.00
104.16.115.174,4,4,0.00,4.18,0.00
104.16.82.154,4,4,0.00,4.18,0.00
198.41.199.107,4,4,0.00,4.20,0.00
104.24.175.137,4,4,0.00,4.20,0.00
104.27.91.227,4,4,0.00,4.20,0.00
198.41.194.197,4,4,0.00,4.20,0.00
172.65.22.147,4,4,0.00,4.20,0.00
198.41.218.56,4,4,0.00,4.21,0.00
172.65.182.197,4,4,0.00,4.21,0.00
172.65.79.253,4,4,0.00,4.21,0.00
172.65.102.155,4,4,0.00,4.21,0.00
104.27.1.95,4,4,0.00,4.21,0.00
104.27.63.108,4,4,0.00,4.21,0.00
104.27.101.178,4,4,0.00,4.22,0.00
173.245.58.158,4,4,0.00,4.22,0.00
141.101.90.228,4,4,0.00,4.23,0.00
104.24.178.65,4,4,0.00,4.23,0.00
104.27.27.207,4,4,0.00,4.23,0.00
162.159.196.179,4,4,0.00,4.23,0.00
172.67.143.171,4,4,0.00,4.23,0.00
172.65.21.101,4,4,0.00,4.23,0.00
162.159.255.9,4,4,0.00,4.23,0.00
172.65.170.189,4,4,0.00,4.23,0.00
198.41.193.140,4,4,0.00,4.23,0.00
104.27.65.116,4,4,0.00,4.23,0.00
104.27.81.1,4,4,0.00,4.24,0.00
172.64.36.165,4,4,0.00,4.24,0.00
104.16.91.190,4,4,0.00,4.24,0.00
162.159.197.127,4,4,0.00,4.25,0.00
104.27.78.128,4,4,0.00,4.25,0.00
104.16.71.129,4,4,0.00,4.25,0.00
104.27.76.214,4,4,0.00,4.26,0.00
162.159.195.30,4,4,0.00,4.26,0.00
198.41.214.200,4,4,0.00,4.26,0.00
104.25.0.12,4,4,0.00,4.26,0.00
172.65.13.159,4,4,0.00,4.27,0.00
104.27.89.38,4,4,0.00,4.27,0.00
104.16.121.129,4,4,0.00,4.27,0.00
104.16.39.99,4,4,0.00,4.27,0.00
104.21.54.169,4,4,0.00,4.27,0.00
104.24.198.234,4,4,0.00,4.27,0.00
104.16.107.160,4,4,0.00,4.27,0.00
172.65.184.193,4,4,0.00,4.28,0.00
104.24.0.224,4,4,0.00,4.28,0.00
104.24.193.65,4,4,0.00,4.28,0.00
104.27.94.212,4,4,0.00,4.29,0.00
104.27.97.200,4,4,0.00,4.29,0.00
104.27.84.46,4,4,0.00,4.29,0.00
162.159.205.55,4,4,0.00,4.29,0.00
104.16.69.105,4,4,0.00,4.29,0.00
198.41.211.109,4,4,0.00,4.30,0.00
108.162.196.203,4,4,0.00,4.30,0.00
104.27.53.73,4,4,0.00,4.30,0.00
104.27.23.159,4,4,0.00,4.30,0.00
162.159.237.157,4,4,0.00,4.30,0.00
104.16.15.140,4,4,0.00,4.32,0.00
104.27.75.230,4,4,0.00,4.32,0.00
104.16.56.58,4,4,0.00,4.33,0.00
172.65.7.47,4,4,0.00,4.33,0.00
162.159.212.46,4,4,0.00,4.34,0.00
162.159.224.125,4,4,0.00,4.34,0.00
172.65.88.42,4,4,0.00,4.34,0.00
104.16.103.253,4,4,0.00,4.34,0.00
162.159.234.133,4,4,0.00,4.34,0.00
104.24.205.46,4,4,0.00,4.35,0.00
104.16.106.227,4,4,0.00,4.35,0.00
104.16.119.232,4,4,0.00,4.35,0.00
104.16.64.107,4,4,0.00,4.36,0.00
104.16.114.18,4,4,0.00,4.36,0.00
141.101.120.117,4,4,0.00,4.37,0.00
104.27.36.27,4,4,0.00,4.37,0.00
162.159.193.14,4,4,0.00,4.37,0.00
104.27.83.220,4,4,0.00,4.37,0.00
104.16.54.204,4,4,0.00,4.38,0.00
104.16.63.71,4,4,0.00,4.38,0.00
103.31.4.109,4,4,0.00,4.38,0.00
104.26.1.48,4,4,0.00,4.39,0.00
104.27.93.130,4,4,0.00,4.39,0.00
172.65.19.14,4,4,0.00,4.39,0.00
162.159.229.76,4,4,0.00,4.39,0.00
198.41.196.221,4,4,0.00,4.39,0.00
104.21.52.113,4,4,0.00,4.40,0.00
104.16.84.206,4,4,0.00,4.40,0.00
104.21.4.237,4,4,0.00,4.40,0.00
190.93.245.162,4,4,0.00,4.41,0.00
198.41.195.82,4,4,0.00,4.42,0.00
104.16.142.41,4,4,0.00,4.42,0.00
172.67.229.78,4,4,0.00,4.42,0.00
172.67.73.14,4,4,0.00,4.43,0.00
172.65.188.186,4,4,0.00,4.43,0.00
108.162.192.196,4,4,0.00,4.44,0.00
104.27.86.86,4,4,0.00,4.44,0.00
104.27.100.121,4,4,0.00,4.44,0.00
104.24.222.117,4,4,0.00,4.45,0.00
104.27.32.239,4,4,0.00,4.45,0.00
198.41.198.39,4,4,0.00,4.45,0.00
104.16.187.163,4,4,0.00,4.45,0.00
172.65.183.71,4,4,0.00,4.46,0.00
104.27.58.165,4,4,0.00,4.46,0.00
104.21.53.32,4,4,0.00,4.46,0.00
172.65.186.170,4,4,0.00,4.46,0.00
104.16.45.50,4,4,0.00,4.46,0.00
104.24.176.87,4,4,0.00,4.46,0.00
104.24.204.143,4,4,0.00,4.46,0.00
104.27.77.159,4,4,0.00,4.46,0.00
104.27.5.198,4,4,0.00,4.47,0.00
104.16.78.74,4,4,0.00,4.47,0.00
104.16.43.164,4,4,0.00,4.47,0.00
172.65.82.138,4,4,0.00,4.49,0.00
104.27.12.184,4,4,0.00,4.49,0.00
104.16.48.122,4,4,0.00,4.50,0.00
141.101.123.250,4,4,0.00,4.51,0.00
104.16.51.84,4,4,0.00,4.51,0.00
104.16.1.152,4,4,0.00,4.52,0.00
172.65.10.203,4,4,0.00,4.52,0.00
104.16.5.171,4,4,0.00,4.52,0.00
104.16.11.88,4,4,0.00,4.52,0.00
104.24.226.136,4,4,0.00,4.53,0.00
173.245.49.44,4,4,0.00,4.53,0.00
104.21.6.164,4,4,0.00,4.53,0.00
104.24.192.153,4,4,0.00,4.54,0.00
104.16.73.137,4,4,0.00,4.54,0.00
172.64.81.36,4,4,0.00,4.54,0.00
104.16.85.230,4,4,0.00,4.55,0.00
104.16.13.192,4,4,0.00,4.55,0.00
172.65.6.190,4,4,0.00,4.55,0.00
104.21.59.16,4,4,0.00,4.55,0.00
172.64.74.224,4,4,0.00,4.55,0.00
172.67.150.35,4,4,0.00,4.56,0.00
104.16.41.126,4,4,0.00,4.56,0.00
104.16.31.236,4,4,0.00,4.56,0.00
162.159.240.197,4,4,0.00,4.56,0.00
172.67.221.6,4,4,0.00,4.57,0.00
188.114.97.37,4,4,0.00,4.57,0.00
172.67.223.2,4,4,0.00,4.57,0.00
104.16.23.37,4,4,0.00,4.57,0.00
104.16.57.192,4,4,0.00,4.57,0.00
104.16.141.142,4,4,0.00,4.57,0.00
172.64.67.218,4,4,0.00,4.58,0.00
104.27.45.86,4,4,0.00,4.58,0.00
104.16.55.120,4,4,0.00,4.59,0.00
104.16.77.18,4,4,0.00,4.59,0.00
104.16.37.99,4,4,0.00,4.59,0.00
172.67.219.94,4,4,0.00,4.60,0.00
172.65.95.250,4,4,0.00,4.60,0.00
104.16.104.17,4,4,0.00,4.60,0.00
172.65.87.252,4,4,0.00,4.61,0.00
104.24.200.198,4,4,0.00,4.61,0.00
172.65.176.12,4,4,0.00,4.61,0.00
162.159.230.26,4,4,0.00,4.61,0.00
172.67.196.239,4,4,0.00,4.62,0.00
172.65.20.81,4,4,0.00,4.62,0.00
104.24.16.16,4,4,0.00,4.62,0.00
104.16.32.131,4,4,0.00,4.62,0.00
172.67.147.225,4,4,0.00,4.62,0.00
104.25.246.32,4,4,0.00,4.62,0.00
104.16.99.136,4,4,0.00,4.62,0.00
172.65.84.162,4,4,0.00,4.63,0.00
104.16.81.210,4,4,0.00,4.63,0.00
104.16.190.224,4,4,0.00,4.63,0.00
104.24.26.144,4,4,0.00,4.63,0.00
172.64.33.127,4,4,0.00,4.64,0.00
162.159.231.211,4,4,0.00,4.64,0.00
104.24.183.245,4,4,0.00,4.65,0.00
104.16.94.16,4,4,0.00,4.65,0.00
104.16.72.249,4,4,0.00,4.65,0.00
172.67.213.141,4,4,0.00,4.65,0.00
104.16.46.251,4,4,0.00,4.65,0.00
104.16.145.177,4,4,0.00,4.66,0.00
104.16.151.92,4,4,0.00,4.66,0.00
104.24.31.217,4,4,0.00,4.66,0.00
190.93.247.2,4,4,0.00,4.66,0.00
104.16.205.32,4,4,0.00,4.66,0.00
104.24.191.2,4,4,0.00,4.66,0.00
104.24.209.141,4,4,0.00,4.67,0.00
104.16.189.97,4,4,0.00,4.67,0.00
104.27.26.46,4,4,0.00,4.67,0.00
162.159.199.162,4,4,0.00,4.67,0.00
104.24.220.29,4,4,0.00,4.67,0.00
104.16.12.245,4,4,0.00,4.68,0.00
104.24.187.199,4,4,0.00,4.68,0.00
104.24.214.247,4,4,0.00,4.68,0.00
172.67.70.118,4,4,0.00,4.68,0.00
104.17.3.75,4,4,0.00,4.69,0.00
104.21.46.93,4,4,0.00,4.69,0.00
172.65.83.64,4,4,0.00,4.69,0.00
104.16.132.4,4,4,0.00,4.69,0.00
198.41.216.251,4,4,0.00,4.69,0.00
104.24.219.97,4,4,0.00,4.70,0.00
104.26.11.206,4,4,0.00,4.70,0.00
104.24.38.83,4,4,0.00,4.70,0.00
104.24.242.168,4,4,0.00,4.70,0.00
104.24.213.92,4,4,0.00,4.71,0.00
104.26.13.114,4,4,0.00,4.71,0.00
104.26.9.230,4,4,0.00,4.71,0.00
104.16.29.140,4,4,0.00,4.72,0.00
104.25.227.181,4,4,0.00,4.72,0.00
104.16.92.205,4,4,0.00,4.72,0.00
162.159.35.174,4,4,0.00,4.72,0.00
104.16.213.56,4,4,0.00,4.73,0.00
104.27.10.19,4,4,0.00,4.73,0.00
104.16.88.9,4,4,0.00,4.74,0.00
162.159.206.74,4,4,0.00,4.74,0.00
104.25.18.167,4,4,0.00,4.75,0.00
104.27.15.239,4,4,0.00,4.75,0.00
104.26.7.127,4,4,0.00,4.75,0.00
104.25.213.82,4,4,0.00,4.76,0.00
162.159.249.32,4,4,0.00,4.76,0.00
104.16.239.217,4,4,0.00,4.76,0.00
104.26.12.21,4,4,0.00,4.76,0.00
104.25.243.233,4,4,0.00,4.76,0.00
172.67.136.150,4,4,0.00,4.77,0.00
104.16.16.172,4,4,0.00,4.77,0.00
104.16.59.154,4,4,0.00,4.77,0.00
104.16.44.87,4,4,0.00,4.77,0.00
104.24.188.162,4,4,0.00,4.77,0.00
104.24.79.11,4,4,0.00,4.78,0.00
172.65.94.215,4,4,0.00,4.78,0.00
104.16.74.31,4,4,0.00,4.78,0.00
104.16.8.66,4,4,0.00,4.78,0.00
104.16.75.183,4,4,0.00,4.79,0.00
104.16.116.105,4,4,0.00,4.79,0.00
162.159.248.179,4,4,0.00,4.79,0.00
172.65.96.8,4,4,0.00,4.80,0.00
104.24.190.99,4,4,0.00,4.80,0.00
172.65.180.236,4,4,0.00,4.80,0.00
104.16.139.142,4,4,0.00,4.80,0.00
104.27.48.125,4,4,0.00,4.81,0.00
104.16.209.42,4,4,0.00,4.81,0.00
104.16.236.168,4,4,0.00,4.81,0.00
104.24.185.76,4,4,0.00,4.81,0.00
104.24.181.139,4,4,0.00,4.81,0.00
104.16.124.219,4,4,0.00,4.81,0.00
